Molecule,Cluster,data,Cluster_center,Distance_to_center
515,0,[-0.3937896280427621  0.0581647207128097  0.4361746924118227 -0.0151369987489985 -0.0020858363767271 -0.0075318764608221],[-0.4693495159995258 -0.0713130500404186  0.3374907126880654 -0.0546210615215456  0.0048261703814585  0.0008025538534308],0.18408842283125237
554,1,[ 0.5272358605970161  0.1819774478489328  0.106154853480774  -0.1716291786087066 -0.0472020111339744  0.0806172799929769],[ 0.4139366290523665  0.1720356570676487  0.0663112842201355 -0.1652045300157116 -0.0419014572442531  0.015222440465746 ],0.1373641951232119
436,2,[-0.2323569449831348  0.2771919996735442 -0.035522572625274  -0.2648155413181822 -0.1751274644634844  0.1291439989513176],[-0.2807540328572362  0.2873252257875843 -0.1068629547651716 -0.1701545221555554 -0.1858738133220981  0.0558677442479074],0.14825657683926075
518,3,[-0.1357122382066145  0.4254426001071455  0.2669618087315563 -0.2149851471352138  0.0396353826944615 -0.088271591869903 ],[-0.1758463632010538  0.4092627456177707  0.1978929733355668 -0.1993864673503462  0.0809548864406886 -0.1377498997545542],0.10507979280203482
226,4,[ 0.2685454239110486 -0.4341233987861392 -0.2624342645504613 -0.0042790593218663  0.0736298250005146 -0.014730899636898 ],[ 0.209555357750951  -0.5128697394729793 -0.2266360767428243  0.0068788073039395  0.1257760844515853  0.0433498926085739],0.13107033652848668
583,5,[ 0.1446774161511821  0.7927666558872943 -0.1942205233510501  0.2363584293355728  0.0326534403870288  0.0693883285868194],[ 0.0637592580907524  0.7194756342884163 -0.1320576436604003  0.4070728126136361  0.1199443874089975  0.0424121080477169],0.2308124180517808
180,6,[ 0.0118371541819644 -0.1351885459159108  0.1964694400006236 -0.0177564629382098 -0.1270365482461212  0.0447776815742877],[ 0.0550856607756496 -0.1425552130005902  0.2107309951759338  0.0462543327012464 -0.1348833750614037 -0.0039026642861762],0.09304205385253804
342,7,[-6.189782510311927e-01 -4.011746833546087e-01 -2.524685933068183e-01  1.142440587356815e-01  1.483499938544478e-01  2.167090788552000e-04],[-0.6247381902597019 -0.40265425829735   -0.2268114261798549  0.1690653415762538  0.0688389571393357 -0.0213312299553425],0.10239798804335791
56,8,[-0.2353853174984315 -0.0492234555451669 -0.6649282333443759 -0.2378311088883855 -0.0269955208448443  0.1018746159085271],[-0.2072538130265835  0.0132884858134406 -0.6015257863188354 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.1882844963840489
32,9,[ 8.097179580226203e-01 -2.072412626652981e-01  3.405425055248980e-02  7.486321206060000e-04 -1.709659187334273e-01 -2.264918770030010e-02],[ 1.028681499919793  -0.1895235656224669  0.0399916638847515  0.0681887319014539 -0.0075412935227096 -0.0173838733550448],0.28209519858480975
